Name: Ayush Jain
Date: 2020-04-27

IMAGE NO., DETECTOR TYPE, DESCRIPTOR TYPE, TOTAL KEYPOINTS, KEYPOINTS ON VEHICLE, DETECTOR ELAPSED TIME, DESCRIPTOR ELAPSED TIME, MATCHED KEYPOINTS, MATCHER ELAPSED TIME
2, BRISK, SIFT, 2741, 282, 33.8692, 24.5705, 193, 0.6147
3, BRISK, SIFT, 2735, 277, 33.047, 24.151, 169, 0.6833
4, BRISK, SIFT, 2757, 297, 33.1951, 23.4037, 183, 0.6233
5, BRISK, SIFT, 2695, 279, 31.9445, 23.6248, 171, 0.6529
6, BRISK, SIFT, 2715, 289, 32.5013, 23.3527, 195, 0.6812
7, BRISK, SIFT, 2628, 272, 30.8594, 23.2719, 194, 0.582
8, BRISK, SIFT, 2639, 266, 31.4203, 22.8546, 176, 0.5838
9, BRISK, SIFT, 2672, 254, 31.3327, 22.985, 183, 0.4921

0, ORB, BRISK, 500, 92, 9.1222, 0.9098, 0, 0
1, ORB, BRISK, 500, 102, 5.4067, 1.0203, 73, 0.1727
2, ORB, BRISK, 500, 106, 5.6815, 1.0326, 74, 0.1837
3, ORB, BRISK, 500, 113, 5.4588, 1.3481, 79, 0.1792
4, ORB, BRISK, 500, 109, 5.8077, 1.0559, 85, 0.183
5, ORB, BRISK, 500, 125, 6.1298, 1.8865, 79, 0.1953
6, ORB, BRISK, 500, 130, 5.4844, 1.3212, 92, 0.1763
7, ORB, BRISK, 500, 129, 6.0929, 1.1867, 90, 0.1957
8, ORB, BRISK, 500, 127, 5.6148, 1.7409, 88, 0.2538
9, ORB, BRISK, 500, 128, 8.2866, 1.2105, 91, 0.2087

0, ORB, BRIEF, 500, 92, 5.673, 0.3367, 0, 0
1, ORB, BRIEF, 500, 102, 6.7953, 0.5318, 49, 0.202
2, ORB, BRIEF, 500, 106, 5.3876, 0.4086, 43, 0.1418
3, ORB, BRIEF, 500, 113, 6.0563, 0.7596, 45, 0.1976
4, ORB, BRIEF, 500, 109, 6.3395, 0.4724, 59, 0.1971
5, ORB, BRIEF, 500, 125, 6.3519, 0.7335, 53, 0.2336
6, ORB, BRIEF, 500, 130, 7.2136, 0.4841, 78, 0.1797
7, ORB, BRIEF, 500, 129, 8.8712, 0.4939, 68, 0.2178
8, ORB, BRIEF, 500, 127, 5.5406, 0.4447, 84, 0.1875
9, ORB, BRIEF, 500, 128, 7.8134, 0.5659, 66, 0.2371

0, ORB, ORB, 500, 92, 6.1053, 10.442, 0, 0
1, ORB, ORB, 500, 102, 5.5424, 12.1782, 65, 0.1829
2, ORB, ORB, 500, 106, 6.1258, 10.6642, 69, 0.1788
3, ORB, ORB, 500, 113, 7.1842, 11.467, 71, 0.1999
4, ORB, ORB, 500, 109, 5.4362, 10.8567, 85, 0.215
5, ORB, ORB, 500, 125, 6.1484, 11.1061, 91, 0.2421
6, ORB, ORB, 500, 130, 6.2727, 10.925, 101, 0.2059
7, ORB, ORB, 500, 129, 6.5469, 10.936, 95, 0.2052
8, ORB, ORB, 500, 127, 6.1298, 11.0695, 93, 0.2354
9, ORB, ORB, 500, 128, 6.3252, 11.2518, 91, 0.225

0, ORB, FREAK, 500, 92, 5.4253, 31.606, 0, 0
1, ORB, FREAK, 500, 102, 6.3584, 32.9363, 42, 0.1207
2, ORB, FREAK, 500, 106, 6.5994, 32.6711, 36, 0.1397
3, ORB, FREAK, 500, 113, 6.906, 31.6856, 45, 0.1373
4, ORB, FREAK, 500, 109, 7.0678, 31.4005, 47, 0.1711
5, ORB, FREAK, 500, 125, 8.9048, 31.5887, 44, 0.1404
6, ORB, FREAK, 500, 130, 7.2204, 33.3381, 51, 0.1578
7, ORB, FREAK, 500, 129, 7.9446, 39.0943, 52, 0.1627
8, ORB, FREAK, 500, 127, 11.9369, 36.7824, 49, 0.1734
9, ORB, FREAK, 500, 128, 6.5671, 36.63, 55, 0.1372

0, ORB, SIFT, 500, 92, 6.6299, 30.6346, 0, 0
1, ORB, SIFT, 500, 102, 8.8532, 30.6168, 67, 0.2014
2, ORB, SIFT, 500, 106, 5.5184, 26.7911, 79, 0.2284
3, ORB, SIFT, 500, 113, 6.2926, 27.694, 78, 0.2086
4, ORB, SIFT, 500, 109, 6.2632, 26.2057, 79, 0.2697
5, ORB, SIFT, 500, 125, 5.5438, 26.9131, 82, 0.2255
6, ORB, SIFT, 500, 130, 6.8607, 27.1583, 95, 0.252
7, ORB, SIFT, 500, 129, 9.3123, 28.4623, 95, 0.2194
8, ORB, SIFT, 500, 127, 9.2589, 29.4048, 94, 0.2375
9, ORB, SIFT, 500, 128, 5.8239, 29.289, 94, 0.1673

0, AKAZE, BRISK, 1351, 166, 100.693, 1.7351, 0, 0
1, AKAZE, BRISK, 1327, 157, 70.1719, 1.3982, 137, 0.251
2, AKAZE, BRISK, 1311, 161, 61.8255, 1.4251, 125, 0.2709
3, AKAZE, BRISK, 1351, 155, 69.7611, 1.4177, 129, 0.2574
4, AKAZE, BRISK, 1360, 163, 62.3292, 1.5154, 129, 0.2883
5, AKAZE, BRISK, 1347, 164, 61.6138, 1.985, 131, 0.2544
6, AKAZE, BRISK, 1363, 173, 61.112, 1.5774, 132, 0.2827
7, AKAZE, BRISK, 1331, 175, 60.5555, 1.536, 142, 0.2838
8, AKAZE, BRISK, 1358, 177, 61.7516, 1.6057, 146, 0.3191
9, AKAZE, BRISK, 1331, 179, 61.0971, 1.5799, 144, 0.3419

0, AKAZE, BRIEF, 1351, 166, 61.2357, 0.6498, 0, 0
1, AKAZE, BRIEF, 1327, 157, 61.5568, 0.685, 141, 0.2548
2, AKAZE, BRIEF, 1311, 161, 60.5271, 0.7016, 134, 0.254
3, AKAZE, BRIEF, 1351, 155, 61.7995, 0.581, 131, 0.2585
4, AKAZE, BRIEF, 1360, 163, 61.6614, 0.6514, 130, 0.2997
5, AKAZE, BRIEF, 1347, 164, 61.943, 0.6748, 134, 0.2424
6, AKAZE, BRIEF, 1363, 173, 61.806, 0.7131, 146, 0.2966
7, AKAZE, BRIEF, 1331, 175, 61.5106, 0.7421, 150, 0.2765
8, AKAZE, BRIEF, 1358, 177, 62.1292, 0.6479, 148, 0.2947
9, AKAZE, BRIEF, 1331, 179, 61.0539, 0.7086, 152, 0.2844

0, AKAZE, ORB, 1351, 166, 60.9396, 6.9851, 0, 0
1, AKAZE, ORB, 1327, 157, 62.4366, 6.9917, 130, 0.2391
2, AKAZE, ORB, 1311, 161, 62.183, 6.7498, 129, 0.2503
3, AKAZE, ORB, 1351, 155, 61.4096, 7.0379, 128, 0.3963
4, AKAZE, ORB, 1360, 163, 63.9241, 7.1903, 115, 0.2459
5, AKAZE, ORB, 1347, 164, 64.784, 7.3481, 132, 0.2797
6, AKAZE, ORB, 1363, 173, 61.4233, 6.8716, 132, 0.2644
7, AKAZE, ORB, 1331, 175, 61.9377, 6.9342, 137, 0.2688
8, AKAZE, ORB, 1358, 177, 61.8463, 6.9013, 137, 0.2436
9, AKAZE, ORB, 1331, 179, 61.4548, 7.1188, 146, 0.2911

0, AKAZE, FREAK, 1351, 166, 62.0722, 35.6188, 0, 0
1, AKAZE, FREAK, 1327, 157, 52.9672, 34.2677, 126, 0.2351
2, AKAZE, FREAK, 1311, 161, 52.128, 38.793, 128, 0.2545
3, AKAZE, FREAK, 1351, 155, 52.2925, 38.8567, 128, 0.278
4, AKAZE, FREAK, 1360, 163, 52.6477, 40.0188, 121, 0.2468
5, AKAZE, FREAK, 1347, 164, 53.9747, 38.9712, 123, 0.3063
6, AKAZE, FREAK, 1363, 173, 52.4831, 39.8042, 132, 0.3095
7, AKAZE, FREAK, 1331, 175, 52.8267, 39.5519, 145, 0.3105
8, AKAZE, FREAK, 1358, 177, 56.4215, 38.3473, 148, 0.3189
9, AKAZE, FREAK, 1331, 179, 52.6452, 38.7076, 137, 0.2994

0, AKAZE, AKAZE, 1351, 166, 69.6371, 50.5288, 0, 0
1, AKAZE, AKAZE, 1327, 157, 56.5103, 48.4699, 138, 0.2828
2, AKAZE, AKAZE, 1311, 161, 43.3127, 34.9579, 138, 0.3038
3, AKAZE, AKAZE, 1351, 155, 38.632, 36.8495, 133, 0.2589
4, AKAZE, AKAZE, 1360, 163, 41.2775, 35.5632, 127, 0.2425
5, AKAZE, AKAZE, 1347, 164, 66.5909, 37.0028, 129, 0.2854
6, AKAZE, AKAZE, 1363, 173, 54.1361, 36.4414, 146, 0.326
7, AKAZE, AKAZE, 1331, 175, 41.2631, 38.4564, 147, 0.3133
8, AKAZE, AKAZE, 1358, 177, 53.5272, 37.792, 151, 0.2885
9, AKAZE, AKAZE, 1331, 179, 39.9675, 34.8345, 150, 0.2804

0, AKAZE, SIFT, 1351, 166, 57.0145, 22.6329, 0, 0
1, AKAZE, SIFT, 1327, 157, 53.9749, 17.0803, 134, 0.2785
2, AKAZE, SIFT, 1311, 161, 56.9978, 16.7318, 134, 0.2883
3, AKAZE, SIFT, 1351, 155, 68.3807, 21.9628, 130, 0.3173
4, AKAZE, SIFT, 1360, 163, 53.5084, 17.4114, 136, 0.2602
5, AKAZE, SIFT, 1347, 164, 68.6093, 21.7303, 137, 0.3079
6, AKAZE, SIFT, 1363, 173, 52.6761, 16.8076, 147, 0.2725
7, AKAZE, SIFT, 1331, 175, 46.9345, 16.5423, 147, 0.3106
8, AKAZE, SIFT, 1358, 177, 44.8291, 17.284, 154, 0.3061
9, AKAZE, SIFT, 1331, 179, 56.5564, 15.6526, 151, 0.3183

0, SIFT, BRISK, 1438, 138, 135.951, 1.2681, 0, 0
1, SIFT, BRISK, 1371, 132, 130.907, 1.218, 64, 0.2155
2, SIFT, BRISK, 1380, 124, 132.55, 1.1493, 66, 0.2281
3, SIFT, BRISK, 1335, 137, 132.226, 1.241, 62, 0.2332
4, SIFT, BRISK, 1305, 134, 132.369, 1.3987, 66, 0.2206
5, SIFT, BRISK, 1369, 140, 133.543, 1.2998, 59, 0.2194
6, SIFT, BRISK, 1396, 137, 130.376, 1.332, 64, 0.2495
7, SIFT, BRISK, 1382, 148, 130.162, 1.3445, 64, 0.215
8, SIFT, BRISK, 1463, 159, 131.556, 1.4464, 67, 0.2428
9, SIFT, BRISK, 1422, 137, 129.827, 1.3263, 80, 0.236

0, SIFT, BRIEF, 1438, 138, 130.036, 0.5097, 0, 0
1, SIFT, BRIEF, 1371, 132, 132.641, 0.5829, 86, 0.2163
2, SIFT, BRIEF, 1380, 124, 131.123, 0.5161, 78, 0.2241
3, SIFT, BRIEF, 1335, 137, 133.962, 0.6865, 76, 0.2239
4, SIFT, BRIEF, 1305, 134, 132.477, 0.5329, 85, 0.2066
5, SIFT, BRIEF, 1369, 140, 132.654, 0.5618, 69, 0.2257
6, SIFT, BRIEF, 1396, 137, 134.161, 0.5291, 74, 0.2058
7, SIFT, BRIEF, 1382, 148, 132.761, 0.5259, 76, 0.2244
8, SIFT, BRIEF, 1463, 159, 134.929, 0.5817, 70, 0.2304
9, SIFT, BRIEF, 1422, 137, 132.566, 0.7149, 88, 0.2469

0, SIFT, FREAK, 1438, 138, 132.853, 32.0812, 0, 0
1, SIFT, FREAK, 1371, 132, 131.994, 31.6017, 64, 0.2337
2, SIFT, FREAK, 1380, 124, 131.604, 31.6376, 72, 0.2437
3, SIFT, FREAK, 1335, 137, 143.048, 35.154, 65, 0.2557
4, SIFT, FREAK, 1305, 134, 135.666, 32.138, 66, 0.2178
5, SIFT, FREAK, 1369, 140, 148.801, 39.0192, 63, 0.216
